time,X,Y,theta_rad,V,steerFL_deg,steerFR_deg,motorFL,motorFR,motorRL,motorRR,brakeFL,brakeFR,brakeRL,brakeRR,plannerNodes,hasSolution,execCompleted,lateralError,headingError
0,000,4,891,-1,783,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,000,0,000
0,020,4,891,-1,783,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,000,0,000
0,040,4,891,-1,783,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,000,0,000
0,060,4,891,-1,783,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,000,0,000
0,080,4,891,-1,783,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,000,0,000
0,100,4,891,-1,783,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,000,0,000
0,120,4,891,-1,783,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,000,0,000
0,140,4,891,-1,783,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,000,0,000
0,160,4,891,-1,783,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,000,0,000
0,180,4,892,-1,784,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,000,0,000
0,200,4,892,-1,784,0,8028,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,000,0,000
0,220,4,892,-1,784,0,8028,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,000,0,000
0,240,4,893,-1,783,0,8028,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,000,0,000
0,260,4,893,-1,783,0,8028,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,000,0,000
0,280,4,893,-1,783,0,8028,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,000,0,000
0,300,4,893,-1,783,0,8028,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,000,0,000
0,320,4,894,-1,783,0,8028,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,0,0,0,000,0,000
0,340,4,894,-1,783,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,28,0,0,0,000,0,000
0,360,4,894,-1,782,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,28,0,0,0,000,0,000
0,380,4,894,-1,782,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,52,0,0,0,000,0,000
0,400,4,894,-1,782,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,52,0,0,0,000,0,000
0,420,4,894,-1,782,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,74,0,0,0,000,0,000
0,440,4,894,-1,782,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,91,0,0,0,000,0,000
0,460,4,894,-1,782,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,91,0,0,0,000,0,000
0,480,4,894,-1,782,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,105,0,0,0,000,0,000
0,500,4,894,-1,782,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,124,0,0,0,000,0,000
0,520,4,894,-1,783,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,147,0,0,0,000,0,000
0,540,4,894,-1,783,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,147,0,0,0,000,0,000
0,560,4,894,-1,783,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,165,0,0,0,000,0,000
0,580,4,893,-1,783,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,165,0,0,0,000,0,000
0,600,4,893,-1,783,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,181,0,0,0,000,0,000
0,620,4,893,-1,783,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,195,0,0,0,000,0,000
0,640,4,893,-1,784,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,195,0,0,0,000,0,000
0,660,4,893,-1,784,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,214,0,0,0,000,0,000
0,680,4,893,-1,784,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,238,0,0,0,000,0,000
0,700,4,893,-1,784,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,238,0,0,0,000,0,000
0,720,4,893,-1,784,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,262,0,0,0,000,0,000
0,740,4,893,-1,784,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,262,0,0,0,000,0,000
0,760,4,893,-1,784,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,281,0,0,0,000,0,000
0,780,4,893,-1,784,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,281,0,0,0,000,0,000
0,800,4,893,-1,784,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,293,0,0,0,000,0,000
0,820,4,892,-1,784,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,316,0,0,0,000,0,000
0,840,4,892,-1,784,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,316,0,0,0,000,0,000
0,860,4,892,-1,784,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,335,0,0,0,000,0,000
0,880,4,892,-1,784,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,335,0,0,0,000,0,000
0,900,4,892,-1,784,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,350,0,0,0,000,0,000
0,920,4,892,-1,784,0,8029,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,0,000,367,0,0,0,000,0,000
